Time;Periode;Comments
2020-04-13T09:11:11Z;September;"BEBERAPA PERTANYAAN NANA.. SEMESTINYA ADA MOMENT ANIES BISA MENGABIL KESEMPATAN UNTUK &quot;MENYALAHKAN&quot; PUSAT TETAPI DIA TIDAK LAKUKAN ITU,"
2020-04-13T08:10:07Z;September;itu yang rapat virtual DPR ada suara bersin keras banget wkwkwk aku yakin bersinnya ngga ditutupin ????
2020-04-13T05:31:18Z;September;Percumah sekalipun di jorokin emang mentok tetep diam ga bisa apa apa. Ada yg punya ide di jegal.
2020-04-13T02:56:37Z;September;Luhut memang memang biang bikin kacau negeri ini... Sayangnya dia juragannya jokowi... Alias bohir pilpres jkw.... Jadi jokowi lalalolo tok ga iso mecat luhut...
2020-04-13T02:45:46Z;September;jokowi udah gila kali ya... si tikus rakus luhut harus dilempar ke penjara... ???
2020-04-13T02:29:41Z;September;Ya ini semua salah kita dulu .. milih pemimpin yang pelihara buzzer .. alhasil apa2 selalu dibela buzzer. Sudahlah .. si anu dam jajarannya lihat nyawa cm data statistik dan gak lihat nyawa sbg hal berharga.. kita sdh tau klo mrk2 itu gak becus urus virus .. Kita sbg rakyat tinggal pasrah tinggal tunggu mati aja .. mati krn virus atau mati krn perut lapar dlm situasi sulit akibat covid-19. Semoga kt semua selalu sehat dan selamat.
2020-04-13T02:24:35Z;September;Negara ini gak serius menangani covid19 atau tdk memiliki kemampuan. Semoga bapak jokowi bisa menjadi presiden seterusnya sampai 30 periode supaya negara ini bisa dijadikan tumbal.
2020-04-13T02:19:42Z;September;Pemerintah terlalu banyak menuntut terhadap rakyatnya (tuannya) ancam sana ancam sini, giliran rakyat yg menuntut perlindungan akan kebutuhan kehidupannya, pemerintah terlalu banyak ngeles...tolong pemerintah seimbangkan antara tuntutan terhadap rakyat dan kewajiban pemerintah terhadap rakyatnya. Klo ga bisa, ini bisa jd potensi rusuh...
2020-04-12T23:22:20Z;September;President Jokowi tidak bertanggung Jawan dengan wabah covid 19 .DIA Sama opung tidak Mau melingdunggi rakyatnya.<br>Seorang gubernur kerja keras.Tatut DIA Sama Anis.Masya Allah Cara DIA bicara SAMPAI boss says acunkan jempol untuk Anis we can see who is the leader??????? The way he explain very smart n very interesting words
2020-04-12T23:03:21Z;September;Maaf ye saudaraku dì Indonesia.Stay Safe ye.Kami warga Malaysia mendoakan warga Indonesia sama2 bersatu melawan Covid ini????????????
2020-04-12T22:56:11Z;September;Setuju sama anis kali ini, data yang ditunjukkan memang real, tapi kalo yang sebenarnya ya nggk mungkin segitu karna kapasitas kita kemungkinan belum memadai, jadi bagi yang ngomong data gk bener ya bukan salah tapi bukan bener juga, apalagi yang bikin data perkiraan, semua juga bisa klo cuma gitu doang.
2020-04-12T22:22:49Z;September;kepingin lihat acara mata najwa juga conference ke Presiden RI 1 terkait kebijakan nya yang dibuat dari awal kes covid19 ini ada di Indonesia, apa bisa setegas ini si najwa bertanya?????? hehehe ^_^ pasti atut kali ya...semoga aja dalam waktu dekat mata najwa bisa hadirkan Pak Presiden berdialog tentang COVID19
2020-04-12T22:12:11Z;September;Skilas saya kira judulnya Terbelit usus corona ????????
2020-04-12T21:51:35Z;September;Kalo daya tampung sarana transportasi dikurangi, itu berpotensi merangsang masyarakat buat pake kendaraan pribadi. Semakin banyak yg pake kendaraan pribadi, Jalanan bakal tambah penuh, tambah macet. Gitu ga sih?
2020-04-12T21:14:51Z;September;Gatau da Indonesia lambat, udah tau penularannya cepat malah leha2
2020-04-12T20:43:23Z;September;putus hubungan sama china slelsay perkara.. Komunis itu jahat sgala cara dilakukan untuk menghancurkan, jauhi jgn didekati apalagi ditemani.. bergaul sama maling ya jadi maling<br>bergaul sama perampok ya kita jdi perampok juga bergaul sama penjahat kita pun ikut jdi penjahat.
2020-04-12T18:15:37Z;September;Memang berbelit dan tidak kompeten Mba. Salah satu contoh, orang yang melanggar PSBB diancam hukuman penjara. Sementara yang sudah dipenjara pada di bebaskan dengan alasan kemanusiaan Covid-19........????????????????????
2020-04-12T17:47:11Z;September;Klo semua nya usai baru semua pemimpin yang ilang nongol mengklaim ini hasil kerja saya jiah hihihihi
2020-04-12T17:26:56Z;September;Membuang masa dengan teori
2020-04-12T17:22:38Z;September;Hahahahhahahhahaaa yang berbelit itu anis baswedan bukan pusat,  bagi yang terhipnotis dan terbuwai dengan  penjelasan anis maka tidak akan fokus, dikira  hebat kerja keras hahahaa padahal plin plan. Warga +62 benar-benar gampang di tipu, dikit-dikit panik, dikit-dikit nyanjung, dikit-dikit menghujat.
2020-04-12T15:51:49Z;September;Terkesan tidak sinkron pusat dan daerah hrsnya kompaknkrn ini bencana kesehatan, kemudian kalau masalah pengurusan ijin2 investor dgn tegasnya dipangkas sementara bicara penanganan covid terkesan terlalu prosedural, jd muter2,  spend time sementara ini darurat kesehatan, sementara kecepatan penyebaran begitu cepat, hrsnya tindakannya lbh cepat juga, gmana ekonomi mau bisa jalan kalau masyarakatnya pd sakit  dan pd ketakutan, jd masyarakatnya dulu yg diurus, sehatkan dulu,  kompak dan fokus dlm penanganan ini, dan lakukan secara extream,  dan ga terkesan lempar tanggung jawab....sementara yg jd korban berjatuhan dan terus nambah...
2020-04-12T15:44:35Z;September;Ya ampun pemerintah pusat melindungi rakyatnya dari covid-19 amat memprihatinkan.
2020-04-12T14:25:49Z;September;anies itu seorang negarawan sejati, .. tidak semua pejabat juga negarawan, melainkan hanya sedikit sekali... beliau juga pemimpin yg diikuti rakyat yang dicibtainya, dan mencintainya... barokallah pak gubernur indonesia..
2020-04-12T14:02:35Z;September;setidaknya pemerintah pernah gerak sangat cepat. revisi uu kpk
2020-04-12T14:01:39Z;September;Salah satu syarat jika anda ingin menjadi politikus handal. Ketika mulai berkomunikasi dengan lawan bicara jangan lupa untuk memulai kalimat dengan kata-kata. Jadi begini/jadi yang harus/jadi sebenarnya/jadi (kata pembenaran)... Lalu mulai lah bicara secara panjang dan terus berputar-putar atau berbelit-belit. Ingat.... jangan to the point atau jangan jujur
2020-04-12T13:47:34Z;September;Jujur Pemerintah republik saat ini kalah tanggap dengan pemerintah Kolonial Hindia Belanda ketika wabah melanda
2020-04-12T13:15:56Z;September;buang2 biayah pak kalo tidak di karantina wilayah,   virus beres ekonomi pasti segera normal kembali.    buat apa di puji negara2 lain tp rakyak pda sakit kena viruz berkepanjangan
2020-04-12T12:47:14Z;September;Tanggapan saya sebagai seorang yang awam... Memang iya, mungkin berapa waktu lalu Indonesia seakan meremehkan Covid-19 (saya juga geram dengan hal itu) tapi, positif thinkingnya itu untuk meningkatkan Optimisme Pemerintah...<br>Terus sekaran semua elemen sedang berusaha untuk melawan covid-19...<br>Semuaa lapisan pemerintah bekerja keras untuk melawan ini (saya juga setuju kalau pemerintah tidak memperlihatkan situasi darurat)<br>Tapi jangan selalu MENYALHKAN dan jangan selalu membahasa yang sudah terjadi.....<br>Mengkritik sangat mengajukan saran jelas Hak Kita... Tapi MENYALAHAKAN buka hak dan bukan hal yang harus dilakukan..<br><br>Saya lebih sering membaca hal-hal yang lebih menyalahkan dari pada hal mengkritik dan memberi saran serta solusi...
2020-04-12T12:14:02Z;September;klo sy gelisah soal dampak dari coronanya terutama dari ekonomi...
2020-04-12T08:50:10Z;September;Mungkin ke depan Jabodetabek jadi satu wilayah pemerintahan dengan satu orang gubernur
2020-04-12T08:30:08Z;September;Jd selama ini para penguasa benar2 pencitraan.. ketika masalah datang keliatan gobloknya
2020-04-12T08:19:06Z;September;kinerja Pak Anies dan pak ridwan luaaarr biasa,sangat masuk akal dan nyata ,kinerja pusat dan menterinya moonmaap ????
2020-04-12T08:15:21Z;September;"Bnyk yg gemas dgn situasi tetapi phobia dgn hukum.<br>Mau mengeluh , mau mengkritik, dan mau marah . Tapi apalah daya remah2an hanya habis di makan semut.<br>Definisi KRITIK dan HINAAN antara penguasa dan rakyat sangat2 jauh berbeda!!<br><br>&quot;Kalian maha benar , kami selalu salah &quot;<br>&quot;Kalian sungguh sempurna , kami penuh dgn kekurangan&quot;<br><br>Kalian lah sang penguasa !!"
2020-04-12T06:27:58Z;September;Our story dan semua yg koment  pake nama palsu, 2024 msh lama, pandemic depan mata jgn adu domba deh.. bersikap jujur.. yg beber ya bener yg salah ya salah..
2020-04-12T06:07:17Z;September;Buat mbak najwa jangan tkut bicara kebeneran
2020-04-12T04:46:07Z;September;Semakin gw tonton semakin gw emosi anjir, kata kasar yang ada di otak gw pngen gw tulis semua, arrrrghhhh....!!!
2020-04-12T04:29:49Z;September;kalau dari pemeritah pusat tegas dari awal..dan memikirkan rakyatnya<br>korban covid 19 tidak akan bertambah.<br>semoga wabah ini cepat berlalu.amin.yra
2020-04-12T04:23:18Z;September;SUDAHLAAAAAAAAAAH, KAPAN MBA NANA SIAP JADI RI1 TANPA PARTAI ATAU BUAT PARTAI BARU! MUAK SAYA SAMA SEMUA NYA
2020-04-12T03:07:17Z;September;"Hikma adanya covid-19 adalah:<br>Tuhan mau memberi tahu hambanya bahwa &quot;saperti inilah pemimpinmu&quot;"
2020-04-12T02:39:37Z;September;Kalau pemerintah mau jujur dan minta maaf masyarakat pasti bisa mengerti... Tapi gengsi pemerintah mengalahkan naluri kemanusiaan..
2020-04-11T23:32:23Z;September;PSBB itu harusnya dari dulu di terapkan,kalau Sekarang mah mestinya karantina total,ga ada orang masuk dan keluar dari wilayah pandemi, jadi ga menyebar dan cepat teratasi.
2020-04-11T21:16:27Z;September;Temu Lawak, Astagfirullah negara kena musibah ati2 ngomong ntar kena diri sndr atau klg
2020-04-11T20:24:54Z;September;Emang ada ya Masker utk Kepala? Setahu ku sih Helm kali ya. Itu sih Udah Peraturan kalee
2020-04-11T19:15:24Z;September;Masalahnya gubernur  Dki adalah Anis baswedan...bayangkan Kalau gubernur Dki Ganjar prabowo atau Risma...Pasti disanjung dan di puja puji kayaknya pahlawan....<br>Dasar politik...viruspun dimanfaatkan!!!
2020-04-11T18:45:47Z;September;Nyerah kelihatanya, para pemimpin ini, rumit memang ngurus rakyat ya, sementara mereka berbincang-bincang kosong, sementara pasien corona nasibnya diujung napas kematian, seratus, duaratus, tiga ratus orang setiap hari.
2020-04-11T17:49:57Z;September;"Belum ada 1 pemerintahan pun yg pernah mengalami wabah se masive ini mulai indonesia merdeka.<br>Negara² yg lebih maju pun kalang kabut dgn betapa pelik &amp; dilematisnya dampak Covid19 ini.<br><br>Kecewa, geram, nyinyir, protes, boleh² saja....asal bawa data yg komprehensif, berimbang &amp; disampaikan secara sopan. <br><br>(Ciri kesopan santunan indonesia mulai terkikis sejak maraknya sosmed &amp; akun² alter netijen).<br><br>NB: Sy ga pernah fanatik terhadap manusia² manapun...karena fanatisme identik dgn kebodohan &amp; tertutup nya pola pikir.<br><br>Jaga kesehatan badan, kesehatan pikiran &amp; kesehatan hati kita masing².????<br><br>Tidak ada media yg netral di dunia ini, Semua Media pasti berpihak...tinggal berpihak kemana?<br>Penguasa,<br>pengusaha, <br>Pemilik media,<br>Golongan agama tertentu,<br>Kebenaran,<br>Atau kemanusiaan?"
2020-04-11T17:17:26Z;September;3842 orang case.<br>327 orang meninggal.<br>286 orang sembuh.<br>1 orang yang planga plongo.
2020-04-11T17:11:23Z;September;BIROKRASI MEMBUNUH BANGSA!!!!!!!!! SETIAP HARI ADA BERITA PEMERINTAHNYA BIKIN SEREMONIAL, PENYERAHAN BANTUAN, BLA BLA BLA, SAMPE SEMPAT BIKIN SPANDUK SEGALA!!!!!! OH, TUHAN!!!!!!
2020-04-11T16:32:30Z;September;negara tidak mau lockdown karna tidak mau ngeluarin duit buat rakyat,jauuuuuuuuuuh sama malaysia,klo buat rakyak mah,omong doang bantuan 405T,,,turun kerakyak kaga,kalo pun turun gk merata,dimalaysia gelandangan aja diperhatikan,miris liat negri ini.banyak mafia politik yg hanya mementingkan dirinya dan kelompoknya sendiri.
2020-04-11T15:43:56Z;September;Ribet lah.. Sekalian la tutup total sebulan aja selesai lek, aduh aduh aduh.. Ribet.
2020-04-11T15:32:32Z;September;"CAPE BRO TERLALU BANYAK YG MENYALAHKAN YG SATU DENGAN YG LAIN. BERFIKIR LAH KITE &quot; SECARE JERNIH ."
2020-04-11T15:29:11Z;September;Mantap ... disituasi yang sangat berat sekali buat bangsa ini .... narasi news menciptakan ruang untuk menumpahkan segala bentuk kebencian .... ??
2020-04-11T15:16:38Z;September;Banyaknya pegawai pabrik yang diliburkan, lalu mereka semua pulang ke kampung masing-masing...<br><br>Nah.... Saya berharap saja tidak menyebar ke wilayah lain..
2020-04-11T14:25:55Z;September;mata najwa kok jadi corong anti pemerintah. Kovid 19 itu wabah dunia PANDEMIK. Semua negara juga pada bingung cara menangulanginya. jadilah pengayom bangsa dan menangulanginya dengan bersatu dan gotong royong.
2020-04-11T13:24:00Z;September;Bisakah seorang presiden dipecat.... gemes gue...??????????
2020-04-11T13:20:41Z;September;Yang di tes se Nusantara baru 20 ribu.Di negara lain rata2 dah ratusan ribu, bahkan negara maju dah jutaan di tes swab. 3800 per hari ini itu ilusi.
2020-04-11T11:53:51Z;September;Masalah wabah ... Seharusnya gak ada yg disalahkan.intinya pak perlu berdebat ....a-z.<br>Syukur kehidupan ,hidup itu sadar dari hati . Bukan sadar dari fikiran dan akal.<br>????????
